IdSession,IdPSX,IdSubscriber,StartSession,EndSession,Duartion,UpTx,DownTx
15290,3,6906,05-01-2024 22:45:44,,29656,181551118,236643175
15232,3,3866,05-01-2024 17:31:47,,48493,665219446,805868071
15358,3,8998,06-01-2024 05:24:13,,5747,204954732,220552064
15373,3,7141,06-01-2024 06:38:53,,1267,56048547,81088455
15257,3,7392,05-01-2024 19:40:59,,40741,2061999712,2741135761
15218,3,6389,05-01-2024 16:20:29,,52771,27653882722,65130988783
15242,3,9588,05-01-2024 18:23:29,,45391,805885254,938005455
15303,3,5195,06-01-2024 00:12:05,,24475,271080732,282308331
15258,3,3995,05-01-2024 19:44:53,,40507,310137493,364537723
15364,3,4338,06-01-2024 06:01:34,,3506,38394162,38760052
15248,3,4054,05-01-2024 18:44:58,,44102,1832182496,2224463589
15330,3,5928,06-01-2024 02:52:49,,14831,234675891,320517217
15238,3,5903,05-01-2024 18:00:24,,46776,3533800912,3855937991
15365,3,9419,06-01-2024 06:04:30,,3330,51198260,74070566
15374,3,8200,06-01-2024 06:30:53,,1747,49863286,67647086
15294,3,4433,05-01-2024 22:58:50,,28870,5691629992,15524640318
15309,3,6680,06-01-2024 00:42:53,,22627,1405161365,1654688855
15332,3,7451,06-01-2024 03:08:06,,13914,60635261,60749157
15206,3,8862,05-01-2024 15:25:22,,56078,2734317547,3233814799
15310,3,7595,06-01-2024 00:40:47,,22753,130205038,157623038
15291,3,9601,05-01-2024 22:45:01,,29699,1899293669,2835409662
15202,3,7145,05-01-2024 14:44:45,,58515,3282185532,3504443561
15317,3,9840,06-01-2024 01:36:25,,19415,896629897,1046950548
15243,3,8465,05-01-2024 18:23:13,,45407,1457186393,1499955252
15247,3,7938,05-01-2024 18:35:33,,44667,945196895,1035787486
15227,3,4880,05-01-2024 17:05:08,,50092,1547968611,2179230306
15366,3,9919,06-01-2024 06:05:06,,3294,128624075,165970009
15346,3,5424,06-01-2024 04:04:47,,10513,637379258,652019409
15368,3,8739,06-01-2024 06:12:51,,2829,792116729,1633333800
15369,3,8872,06-01-2024 06:13:09,,2811,141603121,199472758
15228,3,5241,05-01-2024 17:02:50,,50230,3419040690,3754143960
15334,3,8143,06-01-2024 03:13:16,,13604,249475990,301211462
15338,3,7795,06-01-2024 03:27:29,,12751,106140959,129820770
15328,3,9365,06-01-2024 02:47:24,,15156,102830722,145777693
15320,3,7013,06-01-2024 01:45:46,,18854,378245423,550247932
15267,3,4817,05-01-2024 20:38:17,,37303,3643320462,4854077429
15339,3,5570,06-01-2024 03:25:17,,12883,175687822,211696924
15286,3,8818,05-01-2024 22:12:17,,31663,336513923,347587317
15187,3,8569,05-01-2024 13:51:58,,61682,2529511415,3723568145
15301,3,6572,05-01-2024 23:40:49,,26351,595838682,858619555
15327,3,8902,06-01-2024 02:37:31,,15749,927529042,941399474
15262,3,4072,05-01-2024 20:01:21,,39519,2743692952,2744715597
15353,3,7221,06-01-2024 05:02:08,,7072,22087973,22929528
15181,3,8687,05-01-2024 13:07:13,,64367,3438808528,4964955090
15308,3,8248,06-01-2024 00:37:00,,22980,260091275,309488204
15331,3,8953,06-01-2024 02:53:42,,14778,613353161,783585240
15259,3,7890,05-01-2024 19:41:27,,40713,620394601,756894909
15322,3,4355,06-01-2024 01:52:27,,18453,137663607,155903106
15297,3,5972,05-01-2024 23:10:03,,28197,751124540,1075829310
15281,3,6430,05-01-2024 21:44:42,,33318,1413339339,1982737059
15295,3,6944,05-01-2024 22:57:51,,28929,1893141792,1951503506
15344,3,6448,06-01-2024 03:50:43,,11357,130042127,180970317
15211,3,9311,05-01-2024 15:45:36,,54864,3407152513,3926657243
15251,3,6938,05-01-2024 19:03:08,06-01-2024 06:53:33,42625,18497081,22184421
15356,3,9403,06-01-2024 05:12:34,,6446,19593320,22952081
15360,3,8271,06-01-2024 05:34:25,,5135,35596929,50441273
15340,3,8638,06-01-2024 03:26:33,,12807,303072829,371406880
15305,3,7987,06-01-2024 00:13:24,,24396,256014150,333552325
15288,3,6962,05-01-2024 22:22:57,,31023,411042018,601499104
15245,3,3830,05-01-2024 18:20:51,,45549,2013593286,2463198703
15274,3,8029,05-01-2024 21:29:19,,34241,482767542,598142919
15341,3,6832,06-01-2024 03:42:42,,11838,311891755,452332086
15289,3,6869,05-01-2024 22:21:53,,31087,723148256,933539568
15324,3,8220,06-01-2024 02:16:04,,17036,3836548033,7207174938
15306,3,7481,06-01-2024 00:18:04,,24116,978132039,1247355040
15325,3,7248,06-01-2024 02:29:08,,16252,56856585,65840214
15350,3,9316,06-01-2024 04:45:36,,8064,196654445,263422589
15283,3,7738,05-01-2024 21:47:39,,33141,7521798400,14250464301
15342,3,9428,06-01-2024 03:45:54,,11646,541470314,542747395
15357,3,4941,06-01-2024 05:12:17,,6463,23000970,27583864
15237,3,8929,05-01-2024 17:58:32,,46888,2418443987,3323337798
15316,3,4672,06-01-2024 01:22:22,,20258,1909260063,2447953974
15204,3,9057,05-01-2024 14:40:40,,58760,14485605505,35603517437
15378,3,9573,06-01-2024 06:47:24,,756,46918980,47082620
15299,3,8923,05-01-2024 23:18:37,,27683,169747357,201197896
15354,3,7641,06-01-2024 05:06:22,,6818,65676381,97068018
15361,3,6526,06-01-2024 05:35:46,,5054,1548304038,4492155935
15370,3,3904,06-01-2024 06:13:38,,2782,986829649,2487253908
15277,3,8983,05-01-2024 21:34:09,,33951,3881412593,10598727605
15348,3,4723,06-01-2024 04:18:00,,9720,99581007,133295092
15335,3,5632,06-01-2024 03:14:43,,13517,324291621,413367767
15379,3,8216,06-01-2024 06:43:34,,986,103950371,107998771
15269,3,7009,05-01-2024 21:05:37,,35663,45032508,45748467
15367,3,6848,06-01-2024 06:09:18,,3042,153637947,215582278
15343,3,9111,06-01-2024 03:45:58,,11642,406274676,554713560
15351,3,8719,06-01-2024 04:48:52,,7868,623926625,739893227
15256,3,8724,05-01-2024 19:32:58,,41222,1948585015,2218458907
15375,3,4547,06-01-2024 06:32:25,,1655,10270037,11017688
15355,3,8350,06-01-2024 05:02:49,,7031,222316523,288892202
15376,3,8170,06-01-2024 06:39:09,,1251,18778230,26619204
15318,3,8355,06-01-2024 01:35:12,,19488,72716908,80979425
15214,3,7042,05-01-2024 15:51:52,,54488,480406331,549637867
15347,3,7959,06-01-2024 04:07:15,,10365,471816729,495501132
15231,3,6766,05-01-2024 17:28:23,,48697,1172932497,1285872627
15314,3,5168,06-01-2024 01:13:15,,20805,1273946462,1628119145
15300,3,7189,05-01-2024 23:39:17,,26443,8240787269,24474876988
15336,3,9566,06-01-2024 03:12:48,,13632,166920925,238314407
15333,3,7500,06-01-2024 03:06:09,,14031,661728439,849361400
15323,3,9219,06-01-2024 02:04:24,,17736,141672817,182941789
15337,3,4843,06-01-2024 03:17:13,,13367,1933621694,4891692592
15266,3,5814,05-01-2024 20:23:43,,38177,1883410935,2357720070
15377,3,8354,06-01-2024 06:39:44,,1216,331736511,964629992
15321,3,4705,06-01-2024 01:40:31,,19169,1068366319,1250383144
15359,3,5902,06-01-2024 05:25:47,,5653,214322363,259717936
15278,3,6954,05-01-2024 21:37:12,,33768,434440991,472828083
15381,3,4989,06-01-2024 06:50:22,,578,88122429,212292204
